City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
214,orzhytsya,49.7918,32.7012,-7.55,85,6,3.69,UA,1675819708
215,portland,45.5234,-122.6762,10.01,88,75,2.57,US,1675819361
216,hithadhoo,-0.6,73.0833,27.31,71,11,3.89,MV,1675819709
217,bulancak,40.9372,38.2291,2.9,65,75,5.66,TR,1675819709
218,marzuq,14.4,46.4667,16.48,56,5,2.11,YE,1675819710
219,rio gallegos,-51.6226,-69.2181,14.03,77,0,9.77,AR,1675819710
220,shypyntsi,48.3768,25.7466,-9.22,97,31,0.49,UA,1675819710
221,limoux,42.9167,2.1667,3.87,83,97,3.86,FR,1675819711
222,coihaique,-45.5752,-72.0662,16.97,67,75,1.03,CL,1675819612
223,mount isa,-20.7333,139.5,31.87,51,9,4.12,AU,1675819711
224,lisakovsk,52.5369,62.4936,-17.14,99,90,3.7,KZ,1675819712
225,taoudenni,22.6783,-3.9836,18.25,19,100,5.09,ML,1675819712
226,bayji,34.9311,43.487,8.05,65,100,2.88,IQ,1675819712
227,la tuque,47.4334,-72.7824,-3.86,86,100,3.09,CA,1675819530
228,neya,58.2972,43.8681,-11.89,95,100,3.47,RU,1675819713
229,longyearbyen,78.2186,15.6401,-5.09,80,75,8.23,SJ,1675819714
230,cumra,37.5732,32.7745,-5.92,88,100,3.7,TR,1675819714
231,itarema,-2.9248,-39.9167,25.38,83,100,4.03,BR,1675819581
232,chokurdakh,70.6333,147.9167,-39.12,100,100,1.73,RU,1675819608
233,sao sebastiao,-23.76,-45.4097,23.7,93,87,2.19,BR,1675819561
234,pacific grove,36.6177,-121.9166,14.75,85,20,4.47,US,1675819715
235,dolores,-36.3132,-57.6792,22.14,86,1,6.59,AR,1675819601
236,bellary,15.15,76.9333,21.45,57,61,1.95,IN,1675819715
237,salalah,17.0151,54.0924,20.05,52,0,1.54,OM,1675819715
238,chuy,-33.6971,-53.4616,22.36,75,45,4.17,UY,1675819716
239,ochamchira,42.7121,41.4721,3.96,78,100,1.65,GE,1675819716
240,tenabo,20.05,-90.2333,26.0,60,2,3.49,MX,1675819717
241,moose factory,51.2585,-80.6094,-14.0,72,40,4.63,CA,1675819717
242,lambarene,-0.7001,10.2406,24.03,94,100,1.56,GA,1675819718
243,les cayes,18.2,-73.75,23.49,78,0,1.8,HT,1675819718
244,hun,29.1268,15.9477,10.3,50,99,6.67,LY,1675819718
